URLS,"Tuesday, 2021-11-30 17:40:01","Tuesday, 2021-11-30 17:45:22"
https://www.amazon.in/Belkin-USB-C-Type-C-Supported-Devices/dp/B00WJSPB5A,Not Available,0
https://www.amazon.in/Haier-Ultra-LED-Smart-LE58K6600HQGA/dp/B09K586WXJ,Not Available,0
https://www.amazon.in/Apple-MHXH3ZM-A-MagSafe-Charger/dp/B08L5R6ZHP,"₹4,500.00","₹4,500.00"
https://www.amazon.in/Zebronics-Zeb-UMC101-Micro-Charge-Length/dp/B08W223TVH,₹99.00,₹99.00
https://www.amazon.in/Samsung-inches-Ultra-Smart-UA43AU8000KLXL/dp/B0946HX9RZ,"₹46,849.00","₹46,849.00"
https://www.amazon.in/Belkin-F2CU032bt06-BLK-USB-C-Charge-Cable/dp/B00WJSPFOW,₹799.00,0
https://www.amazon.in/Havells-EcoStar-Surge-Spike-Guard/dp/B08HYPH6JQ,₹705.00,₹705.00
https://www.amazon.in/SanDisk-Cruzer-Blade-SDCZ50-016G-135-Drive/dp/B002U1ZBG0,₹339.00,0
https://www.amazon.in/Dell-Inspiron-3280-21-5-inch-Integrated/dp/B08BPS64F6,"₹45,000.00",0
https://www.amazon.in/HP-20-c406il-19-5-inch-Desktop-Graphics/dp/B07JZB8YL3,Not Available,Not Available
https://www.amazon.in/Lenovo-IdeaCentre-i3-10110U-Wireless-F0E800U0IN/dp/B092VZJ4LY,"₹54,850.00",0
https://www.amazon.in/HP-Desktop-3-3250U-Graphics-22-dd0201in/dp/B08H2CYVMD,Not Available,Not Available
https://www.amazon.com/Sony-Portable-Bluetooth-Karaoke-Party-Speaker-Splash-Resistant-Hour-Battery/dp/B094TJ5FBF,Not Available,Not Available
https://www.amazon.in/PHILIPS-Digital-HD9252-90-Technology/dp/B097RJ867P,"₹9,478.00",0
https://www.amazon.com/Sony-Portable-Bluetooth-Karaoke-Party-Speaker-Splash-Resistant-Hour-Battery/dp/B094T99V63,Not Available,Not Available
https://www.amazon.in/Zebronics-ZEB-TRX212L-Trolley-Bluetooth-Supporting/dp/B085481GLJ,Not Available,0
https://www.amazon.in/Glen-Fryer-3045-Watt-Black/dp/B07H6G7V53,"₹3,950.00",0
https://www.amazon.com/Sony-Portable-Bluetooth-Party-Speaker-Water-Resistant-Hour-Battery/dp/B094T6NYV9,Not Available,Not Available
https://www.amazon.in/Philips-TAX4105-Audio-Portable-Bluetooth/dp/B08GGCNT77,"₹14,990.00",0
https://www.amazon.in/Philips-HD9216-43-Fryer-Retractable/dp/B08B3M4GMX,"₹9,725.00",0
https://www.amazon.in/Philips-AC1217-Air-Purifier-White/dp/B07J6RN9T5,"₹9,505.00",0
https://www.amazon.in/PHILIPS-Fryer-HD9200-90-Technology/dp/B09CTWFV5W,"₹7,099.00",0
https://www.amazon.in/Samsung-Galaxy-Cloud-128GB-Storage/dp/B08VB57558,Not Available,0
https://www.amazon.in/Kent-16033-1350-Watt-Fryer-Black/dp/B07KZ1W688,"₹5,999.00",0
https://www.amazon.in/realme-C21Y-Cross-Storage-Medium/dp/B09DY5QRVR,Not Available,0
https://www.amazon.in/Test-Exclusive_2020_1178-Multi-3GB-Storage/dp/B089MTJVLD,Not Available,0
https://www.amazon.in/A54-6GB-128GB-Crystal-Black/dp/B09DWZRRHJ,"₹16,990.00",0
